frame,tempo,atividade/emocao
584,00:19,triste
585,00:19,triste
586,00:19,triste
596,00:19,mao levantada
596,00:19,mao no rosto
597,00:19,mao levantada
597,00:19,mao no rosto
597,00:19,mao no rosto
603,00:20,mao levantada
603,00:20,mao no rosto
605,00:20,mao levantada
607,00:20,mao levantada
609,00:20,triste
610,00:20,neutro
611,00:20,neutro
612,00:20,neutro
612,00:20,mao levantada
612,00:20,mao no rosto
613,00:20,neutro
614,00:20,neutro
614,00:20,mao levantada
615,00:20,neutro
615,00:20,mao levantada
615,00:20,mao no rosto
615,00:20,mao no rosto
616,00:20,neutro
616,00:20,mao levantada
616,00:20,mao no rosto
617,00:20,neutro
618,00:20,neutro
618,00:20,mao no rosto
619,00:20,neutro
619,00:20,mao no rosto
620,00:20,neutro
620,00:20,mao no rosto
621,00:20,triste
622,00:20,neutro
623,00:20,neutro
624,00:20,medo
625,00:20,neutro
626,00:20,neutro
627,00:20,neutro
628,00:20,triste
629,00:20,neutro
630,00:21,neutro
631,00:21,neutro
632,00:21,neutro
633,00:21,neutro
634,00:21,neutro
635,00:21,neutro
636,00:21,neutro
637,00:21,neutro
638,00:21,neutro
639,00:21,neutro
640,00:21,medo
641,00:21,medo
642,00:21,neutro
643,00:21,neutro
644,00:21,neutro
645,00:21,neutro
646,00:21,triste
647,00:21,triste
648,00:21,triste
649,00:21,neutro
650,00:21,triste
651,00:21,triste
652,00:21,triste
653,00:21,triste
654,00:21,triste
655,00:21,triste
656,00:21,triste
657,00:21,feliz
658,00:21,triste
659,00:21,triste
660,00:22,triste
661,00:22,triste
662,00:22,triste
663,00:22,medo
664,00:22,bravo
665,00:22,bravo
666,00:22,medo
667,00:22,feliz
668,00:22,bravo
669,00:22,bravo
670,00:22,bravo
671,00:22,bravo
672,00:22,bravo
673,00:22,triste
674,00:22,triste
675,00:22,bravo
676,00:22,triste
677,00:22,medo
678,00:22,medo
679,00:22,bravo
679,00:22,mao no rosto
679,00:22,mao no rosto
680,00:22,feliz
682,00:22,feliz
682,00:22,mao levantada
684,00:22,mao levantada
684,00:22,mao no rosto
684,00:22,mao no rosto
686,00:22,mao levantada
686,00:22,mao no rosto
689,00:22,mao levantada
689,00:22,mao no rosto
690,00:23,mao levantada
690,00:23,mao no rosto
690,00:23,mao no rosto
691,00:23,medo
691,00:23,mao levantada
691,00:23,mao no rosto
694,00:23,mao levantada
695,00:23,mao levantada
696,00:23,mao levantada
696,00:23,mao no rosto
696,00:23,mao no rosto
698,00:23,mao levantada
699,00:23,mao levantada
699,00:23,mao no rosto
701,00:23,mao levantada
701,00:23,mao no rosto
702,00:23,mao levantada
702,00:23,mao no rosto
702,00:23,mao no rosto
707,00:23,mao no rosto
707,00:23,mao no rosto
708,00:23,medo
708,00:23,mao no rosto
708,00:23,mao no rosto
709,00:23,medo
709,00:23,mao no rosto
710,00:23,triste
711,00:23,triste
711,00:23,mao no rosto
711,00:23,mao no rosto
712,00:23,neutro
712,00:23,mao no rosto
713,00:23,triste
714,00:23,bravo
715,00:23,bravo
715,00:23,mao no rosto
716,00:23,neutro
717,00:23,medo
718,00:23,neutro
